Datetime,Area ID,Area Boss,Remain Count,Capture Type,Capture Status,Sangvis ID,Sangvis Rank,Sangvis Name
2022-09-20 08:02:20,17,,99,PULSE,O,3009,★,Jaguar
2022-09-20 08:02:20,17,,99,PULSE,X,0,,Unknown
2022-09-20 08:02:39,17,,98,PULSE,O,3008,★,Prowler
2022-09-20 08:03:03,17,,97,PULSE,O,2005,★★,Tarantula
2022-11-27 13:02:02,20,,91,PULSE,O,3005,★,Striker
2022-11-27 13:02:11,20,,90,PULSE,O,3008,★,Prowler
2022-11-27 13:02:21,20,,89,PULSE,O,3002,★,Vespid
2022-11-27 13:02:31,20,,88,PULSE,O,3009,★,Jaguar
2022-11-27 13:02:42,20,,87,PULSE,O,3006,★,Dinergate
2022-11-27 13:02:55,20,,86,PULSE,O,3006,★,Dinergate
2022-11-27 13:03:32,20,,85,PULSE,O,3007,★,Scout
2023-01-01 13:21:29,30,Destroyer - Dashing Reindeer,74,PULSE,O,3004,★,Jaeger
2023-01-22 12:15:57,23,Alchemist,95,PULSE,O,3001,★,Ripper
2023-01-22 12:15:57,23,Alchemist,94,PULSE,O,3007,★,Scout
2023-04-29 14:24:24,26,Judge,82,PULSE,O,3010,★,Goliath Factory
2023-05-07 12:28:19,38,,99,SVAROG,O,3010,★,Goliath Factory
2023-05-07 12:28:19,38,,98,SVAROG,O,3009,★,Jaguar
2023-05-07 12:28:19,38,,97,SVAROG,O,2009,★★,Ripper SWAP
2023-05-07 12:28:19,38,,96,SVAROG,O,3009,★,Jaguar
2023-05-07 12:28:19,38,,95,SVAROG,O,3007,★,Scout
2023-05-07 12:28:19,38,,94,SVAROG,O,1013,★★★,Adeline
2023-05-07 12:28:19,38,,93,SVAROG,O,2009,★★,Ripper SWAP
2023-05-07 12:28:19,38,,92,SVAROG,O,2011,★★,Prowler_SWAP
2023-05-07 12:28:19,38,,91,SVAROG,O,3006,★,Dinergate
2023-05-07 12:28:19,38,,90,SVAROG,O,3001,★,Ripper
2023-05-07 12:29:02,38,,100,PULSE,X,0,,Unknown
2023-05-07 12:29:08,38,,99,PULSE,O,3009,★,Jaguar
2023-05-07 12:29:29,38,,98,PULSE,O,3004,★,Jaeger
2023-05-07 12:29:41,38,,97,PULSE,O,3003,★,Guard
2023-05-07 12:29:51,38,,96,PULSE,O,3009,★,Jaguar
2023-05-07 12:29:57,38,,95,PULSE,O,3006,★,Dinergate
2023-05-07 12:30:09,38,,94,PULSE,O,3007,★,Scout
2023-05-07 12:30:28,38,,93,PULSE,O,3008,★,Prowler
2023-05-07 12:30:37,38,,92,PULSE,O,3006,★,Dinergate
2023-05-07 12:30:46,38,,91,PULSE,O,2010,★★,Vespid_SWAP
2023-05-07 12:30:53,38,,91,PULSE,X,0,,Unknown
2023-06-16 23:41:36,29,Adeline,72,PULSE,O,3010,★,Goliath Factory
2023-07-02 12:26:15,36,Cerberus,75,PULSE,O,2015,★★,Jaeger SWAP
2023-08-17 22:36:28,40,Alina - Mosasaur Rider,61,PULSE,O,3006,★,Dinergate
