ID,No,Rarity,Dev. Rate,Level,Name,Damage,Accuracy,Evasion,Armor,Crit.Damage,Talent,Skill,Locked
34679,17,★★★★★,3000,76,Illumination Fairy,0.0,64.8,23.2,5.6,27.2,Armor II,10,Locked
34711,15,★★★★★,3000,100,Command Fairy,36.0,0.0,32.0,8.0,36.0,Damage II,10,Locked
35461,2,★★★★★,3000,100,Fury Fairy,15.0,0.0,40.0,10.0,40.0,Critical I,10,Locked
35552,16,★★★★★,3000,100,Rescue Fairy,32.0,80.0,64.0,0.0,0.0,Damage II,10,Locked
36703,6,★★★★★,3000,100,Taunt Fairy,18.0,58.0,28.0,8.0,25.0,Damage II,10,Locked
41792,9,★★★★★,3000,100,Airstrike Fairy,30.0,50.0,40.0,10.0,0.0,Fervor,10,Locked
85604,8,★★★★★,3000,100,Artillery Fairy,55.0,0.0,56.0,6.0,0.0,Damage I,10,Locked
99777,1007,★★★,200,67,Anna Graem,12.6,15.6,33.6,4.2,0.0,Critical II,5,Locked
119527,13,★,0,36,Rocket Fairy,0.0,12.8,0.0,6.8,10.4,Fervor,5,Locked
119528,12,★,0,8,Landmine Fairy,6.0,10.8,20.8,0.0,0.0,Accuracy II,4,Locked
171019,4,★★★★★,3000,100,Shield Fairy,20.0,60.0,80.0,0.0,0.0,Fervor,10,Locked
200541,1,★★★★★,3000,100,Warrior Fairy,25.0,80.0,40.0,10.0,0.0,Damage I,10,Locked
235829,20,★,0,1,Fireworks Fairy,3.6,8.4,3.6,0.8,0.0,Sturdy,1,Locked
235830,20,★,0,9,Fireworks Fairy,4.4,10.4,4.4,1.2,0.0,Accuracy II,1,Locked
255434,24,★★★,1450,40,Barrier Fairy,0.0,30.6,13.2,9.6,0.0,Sturdy,1,Locked
256419,1005,★,0,1,Sehra & Nina,2.8,8.0,10.0,0.0,4.0,Armor I,1,Locked
262551,1006,★,0,1,Preiya & Camilia,4.4,10.0,2.0,2.0,4.4,Evasion II,1,Locked
273615,1004,★,0,5,Suee,0.0,0.0,14.8,4.0,6.4,Fervor,10,Locked
