ID,No.,Type,Star,Name,Doll ID,Doll,Damage,Accuracy,Evasion,Move Speed,Rate of Fire,Crit.Rate,Crit.Damage,Armor Pen.,Armor,Shield,Damage Amplify,Damage Reduction,Night View,Rounds,Equip Exp,Equip Level,EQUIP_INFO_ADJUST_MAX,Adjust Count,Locked
110779875,43,Plate (Body),★★★★,Type 2 Armor Plate,-,-,-,-,-1.0000,-,-,-,-,-,4.4594,-,-,-,-,-,0,0,,0,
114639025,12,Red Dot (Acc),★★★★★,ITI MARS,445227921,LTLX7000,-,12.908,-,-,-2.0098,-,-,-,-,-,-,-,-,-,0,0,,0,
114656709,7,EOT (Holographic),★★★★,EOT 516,422982319,Skorpion,3.038,4.7899,-,-,-3.784,-,-,-,-,-,-,-,-,-,5000,10,,0,
114806474,4,Optical (Acc),★★★★★,VFL 6-24X56,456853735,SCAR-H,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,11,
114806475,8,EOT (Holographic),★★★★★,EOT 518,422986234,ST AR-15 Mod,8,14,-,-,-4,-,-,-,-,-,-,-,-,-,10000,10,MAX,16,Locked
114839495,137,Sp. Eq (Exclusive),★★★★★,Adelhyde,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,Locked
114839496,138,Sp. Eq (Exclusive),★★★★★,Flanergide,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,Locked
114839497,139,Sp. Eq (Exclusive),★★★★★,Adelhyde,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,Locked
114839498,140,Sp. Eq (Exclusive),★★★★★,Bronson Extract,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,Locked
114839499,141,Sp. Eq (Exclusive),★★★★★,Powdered Delta,-,-,-,-,15.000,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,Locked
114839500,142,Sp. Eq (Exclusive),★★★★★,Karmotrine,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,Locked
114839501,143,Sp. Eq (Exclusive),★★★★★,Karmotrine,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,Locked
114839502,144,Sp. Eq (Exclusive),★★★★★,Karmotrine,-,-,-,-,15.0000,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,Locked
114937159,39,T Exo (Body),★★★★,IOP T3 Exoskeleton,-,-,-5.2865,-,15.5776,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
115014159,43,Plate (Body),★★★★,Type 2 Armor Plate,-,-,-,-,-1.0000,-,-,-,-,-,4.4129,-,-,-,-,-,0,0,,0,
115148902,4,Optical (Acc),★★★★★,VFL 6-24X56,458417779,SCAR-L,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,1,Locked
115179924,8,EOT (Holographic),★★★★★,EOT 518,422985681,M4 SOPMOD II,8,14,-,-,-4,-,-,-,-,-,-,-,-,-,10000,10,MAX,16,Locked
115438026,4,Optical (Acc),★★★★★,VFL 6-24X56,422985681,M4 SOPMOD II,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,12,Locked
115438029,4,Optical (Acc),★★★★★,VFL 6-24X56,422986234,ST AR-15 Mod,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,6,Locked
115438358,31,HV (Ammo),★★★★,JHP High-Velocity Ammo,422983080,M4A1 Mod,9.8943,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,10,,0,
115488961,109,Optical (Acc),★★★★★,16Lab 6-24X56,422983080,M4A1 Mod,-,-,-,-,-,48.0000%,-,-,-,-,-,-,-,-,10000,10,MAX,0,Locked
115525314,110,HV (Ammo),★★★★★,16Lab High-Velocity Ammo,458417779,SCAR-L,20.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,0,Locked
116261985,66,Supp (Silencer),★★★★★,AC4 Suppressor,402406682,PPK Mod,-,-,7.5498,-,-,13.3995%,-,-,-,-,-,-,-,-,0,0,,0,
116261988,12,Red Dot (Acc),★★★★★,ITI MARS,-,-,-,13.7108,-,-,-3.7807,-,-,-,-,-,-,-,-,-,0,0,,0,Locked
116288406,277,Sp. Eq (Exclusive),★★★★★,DHG Extended Handguard,-,-,-,4.6690,9.0001,3.0000,-,-,-,-,-,-,-,-,-,-,1,0,,0,Locked
116489717,71,HP (Ammo),★★★★,ILM Hollow-Point Ammo,422982319,Skorpion,4.9632,-,-,-,-,-,-,-5.6168,-,-,-,-,-,-,1,0,,0,
116605994,68,MG Box (Body),★★★★★,IOP Maximum Ammo Box,-,-,-,-,-2.5732,-,-,-,-,-,-,-,-,-,-,2.2892,1,0,,0,Locked
116720893,80,Slug (Shell),★★★★★,SABOT Slug,-,-,-,8.9352,-,-,-,-,-,-,-,-,-,-,-,-,1,0,,0,Locked
116743951,40,T Exo (Body),★★★★★,IOP T4 Exoskeleton,460294001,100 Shiki Mod,-6.5570,-,26.8148,-,-,-,-,-,-,-,-,-,-,-,5601,8,,0,
116921589,72,HP (Ammo),★★★★★,ILM Hollow-Point Ammo,460294001,100 Shiki Mod,7.6015,-,-,-,-,-,-,-8.1952,-,-,-,-,-,-,1,0,,0,
116990012,20,AP (Ammo),★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,456853735,SCAR-H,-,-,-,-,-,-,-,170.3295,-,-,-,-,-,-,10000,10,,0,
117025001,283,Sp. Eq (Exclusive),★★★★★,Barrett QDL,-,-,4.8450,-,-,-,-,22.1163%,-,-,-,-,-,-,-,-,1,0,,0,Locked
