Area ID,Area Name,Battle Type,Echelon,Preset
1314,Ele.4,Day,1,MXwyMDIwNi05LTQtMzItNDEyOzIwMDU1LTgtNC0zMi05OTsyMDExNC03LTQwNi03Mi0yMTM7MjAxOTYtMTQtNC0zMi00MjQ7MjcyLTEzLTIyNC00MzYtNTh8MA==
1314,Ele.4,Day,2,MXwxODMtOS0yMjQtMjAtMzU3OzIwMTIyLTgtNC0zMi0xOTA7MjAyMzMtNy0yNjYtNzItMzgxOzIwMjkzLTE0LTQtMzItMjc1OzIwMDk3LTEzLTE3OS03Mi0zODR8MA==
1314,Ele.4,Day,3,MXwyMDA2NS05LTEwNi0zNTYtMTU5OzIwMjA1LTgtMjc0LTMyLTIzNDsyMDMxMC03LTIyNC03Mi00MDQ7MjAwNTYtMTQtMTI2LTQ1MS0zMjsyMDIyMS0xMy0yMjQtMTc2LTU4fDA=
1314,Ele.4,Day,4,MXwyMDAwOC05LTE4MC0yMzgtMzUxOzIwMjg4LTgtNC0zMi00MzE7MjAwNjYtNy04My0zNjgtMjk5OzIwMDU3LTE0LTEwMC0zMzgtNjA7MjAyMTItMTMtNDU5LTcyLTMzNHww
1314,Ele.4,Day,5,MXwyMDIyOC05LTQwLTMzNS0xNjg7MjAwMTItOC0xNjctNzItMzUzOzEzOC03LTEyLTM2MS0yMzQ7MjAwMDEtMTQtMTIyLTQyMy00MDsyMDAxMC0xMy0xNTUtNzItMzU1fDA=
1314,Ele.4,Day,6,MXwyMDAwNy05LTIyNC03Mi0xNzE7MzQ3LTgtMjM0LTIwLTEyOzIwMDY0LTctMTMwLTMyLTM5MDsyMDEyNy0xNC0zOTYtMTgyLTEyOzIwMjYyLTEzLTQtMzItMzgzfDA=
1314,Ele.4,Day,7,MXwyMDIxNi05LTI3My0zMi0yMzQ7MjAwNjAtOC00LTEzNS0zNjA7MjEzLTctMjM0LTIwLTEyOzIwMTcxLTE0LTI2MS0zMi0yMzQ7MjAwMTMtMTMtMjI0LTcyLTQ0MHww
1314,Ele.4,Day,8,MXwyMDIyMC05LTIyNC03Mi01ODsyMDExNS04LTE5Ny0yODYtNjY7MjYwLTctMjI0LTcyLTMyMDsyOTQtMTQtMzA1LTcyLTQxMzsyMTUtMTMtMTc1LTMyLTQ0Mnww
1314,Ele.4,Day,9,MXwxMDQzLTktNC0zMi0zODg7NjItOC00LTQxOS0xMjc7NTQtNy0zMi00NC05MTsxMDQyLTE0LTIyNC03Mi0zODc7MjUwLTEzLTIyNC03Mi00MTd8MA==
1314,Ele.4,Day,10,MXwyMDAwNS05LTExMy03Mi00MTU7MjAxMDEtOC05Mi0zNTktMTU2OzEwNDUtNy0yMjQtNzItNDI5OzI0Mi0xNC0yNzgtNzItNTg7MjAwMjYtMTMtNjItMzQ4LTE1N3ww
