event_id,datetime,prize_id,prize
768,2024-01-21 13:09:17,1912,Enhancement Capsule*4
768,2024-01-21 13:09:17,1913,Enhancement Capsule*6
768,2024-01-21 13:09:17,827,Basic Training Data*20
768,2024-01-21 13:09:17,837,Calibration Ticket*20
768,2024-01-21 13:09:17,1907,Rations*400
768,2024-01-21 13:09:17,220283,prize-10220283
768,2024-01-21 13:09:17,1910,Parts*400
768,2024-01-21 13:09:17,920,Pure Sample
768,2024-01-21 13:09:17,880,Memory Fragment*30
768,2024-01-21 13:09:17,1914,Enhancement Capsule*10
768,2024-01-21 13:09:19,825,Quick Repair*1
768,2024-01-21 13:09:19,840,Battery*30
768,2024-01-21 13:09:19,1905,Ammo*600
768,2024-01-21 13:09:19,825,Quick Repair*1
768,2024-01-21 13:09:19,836,Calibration Ticket*10
768,2024-01-21 13:09:19,1906,Rations*200
768,2024-01-21 13:09:19,825,Quick Repair*1
768,2024-01-21 13:09:19,919,Original Sample
768,2024-01-21 13:09:19,828,Basic Training Data*30
768,2024-01-21 13:09:19,1901,Manpower*400
768,2024-01-21 13:09:20,1909,Parts*200
768,2024-01-21 13:09:20,1903,Ammo*200
768,2024-01-21 13:09:20,1906,Rations*200
768,2024-01-21 13:09:20,1906,Rations*200
768,2024-01-21 13:09:20,830,Intermediate Training Data*20
768,2024-01-21 13:09:20,1912,Enhancement Capsule*4
768,2024-01-21 13:09:20,1908,Rations*600
768,2024-01-21 13:09:20,1900,Manpower*200
768,2024-01-21 13:09:20,1909,Parts*200
768,2024-01-21 13:09:20,920,Pure Sample
768,2024-01-21 13:09:21,1910,Parts*400
768,2024-01-21 13:09:21,815,Token*4
768,2024-01-21 13:09:21,827,Basic Training Data*20
768,2024-01-21 13:09:21,834,Advanced Training Data*30
768,2024-01-21 13:09:21,830,Intermediate Training Data*20
768,2024-01-21 13:09:21,823,Equipment Contract*1
768,2024-01-21 13:09:21,1909,Parts*200
768,2024-01-21 13:09:21,827,Basic Training Data*20
768,2024-01-21 13:09:21,824,Quick Production*1
768,2024-01-21 13:09:21,827,Basic Training Data*20
768,2024-01-21 13:09:22,1901,Manpower*400
768,2024-01-21 13:09:22,878,Memory Fragment*10
768,2024-01-21 13:09:22,1903,Ammo*200
768,2024-01-21 13:09:22,1912,Enhancement Capsule*4
768,2024-01-21 13:09:22,1900,Manpower*200
768,2024-01-21 13:09:22,1912,Enhancement Capsule*4
768,2024-01-21 13:09:22,825,Quick Repair*1
768,2024-01-21 13:09:22,1906,Rations*200
768,2024-01-21 13:09:22,828,Basic Training Data*30
768,2024-01-21 13:09:22,1907,Rations*400
768,2024-01-21 13:09:23,1909,Parts*200
768,2024-01-21 13:09:23,1914,Enhancement Capsule*10
768,2024-01-21 13:09:23,834,Advanced Training Data*30
768,2024-01-21 13:09:23,1900,Manpower*200
768,2024-01-21 13:09:23,920,Pure Sample
768,2024-01-21 13:09:23,880,Memory Fragment*30
768,2024-01-21 13:09:23,1906,Rations*200
768,2024-01-21 13:09:23,825,Quick Repair*1
768,2024-01-21 13:09:23,1912,Enhancement Capsule*4
768,2024-01-21 13:09:23,1949,prize-10001949
