ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
15424,1001,★★★,Scarecrow,,90,2015143,47843,65157,x1,★★★★★,◆,1036,1036,10,4,5,5,3002,Fighting Spirit,3003,Lone Wolf,100,,,Locked
57307,3002,★,Vespid,XL,18,11410,110,1190,x5,★,◆◆◆◆,423,423,0,0,0,0,0,,0,,100,,,Locked
59662,3004,★,Jaeger,L,26,23840,240,1660,x5,★,◆◆◆◆,315,315,0,0,0,0,0,,0,,100,,,Locked
74040,3005,★,Striker,XL,18,11518,218,1082,x5,★,◆◆◆◆,368,368,0,0,0,0,0,,0,,100,,,Locked
131040,3003,★,Guard,XL,9,2810,110,590,x5,★,◆◆◆◆,586,586,0,0,0,0,0,,0,,100,,,Locked
151532,1002,★★★,Executioner,,90,2016000,48700,64300,x1,★★★★★,◆,1246,1246,4,1,1,3,0,,0,,100,,,Locked
216233,3004,★,Jaeger,XL,90,2016175,48875,64125,x5,★★★★★,◆◆◆◆,569,569,0,0,0,3,0,,0,,98,,,Locked
216234,2006,★★,Manticore,M,90,2039822,72522,40478,x1,★★★★★,◆◆◆◆,1505,1505,0,0,2,1,0,,0,,99,,,Locked
216236,1003,★★★,Hunter,,90,1983875,16575,96425,x1,★★★★★,◆,1090,1090,10,10,5,5,0,,0,,100,,,Locked
231562,3003,★,Guard,XL,9,2810,110,590,x5,★,◆◆◆◆,586,586,0,0,0,0,0,,0,,100,,,Locked
244673,2003,★★,Aegis,L,5,740,40,360,x5,★★,◆◆◆◆,634,634,0,0,1,0,0,,0,,100,,,Locked
332865,3008,★,Prowler,XL,1,0,0,100,x5,★,◆◆◆◆,374,374,0,0,0,0,0,,0,,100,,,Locked
345394,3006,★,Dinergate,XL,10,3450,50,650,x5,★,◆◆◆◆,169,169,0,0,0,0,0,,0,,100,,,Locked
357345,2006,★★,Manticore,M,7,1940,340,160,x1,★★,,539,539,0,0,1,0,0,,0,,100,,,
384189,2006,★★,Manticore,L,90,2055686,88386,24614,x1,★★★★★,◆◆◆◆,1527,1526,0,0,3,3,0,,0,,91,,,Locked
433310,2005,★★,Tarantula,L,1,0,0,100,x5,★★,◆◆◆◆,167,167,0,0,1,0,0,,0,,100,,,Locked
433363,1004,★★★,Intruder,,90,1971284,3984,109016,x1,★★★★★,,1309,1309,5,1,1,1,3005,Strength in Numbers,2003,Pilfer,56,,,Locked
464214,3006,★,Dinergate,XL,13,6288,488,512,x5,★,◆◆◆◆,172,172,0,0,0,0,0,,0,,100,,,Locked
568316,2002,★★,Dragoon,XL,1,0,0,100,x5,★★,◆◆◆◆,576,576,0,0,1,0,0,,0,,50,,,Locked
568331,3009,★,Jaguar,L,1,0,0,100,x5,★,◆◆◆◆,236,236,0,0,0,0,0,,0,,50,,,
568389,2004,★★,Nemeum,XL,90,2003547,36247,76753,x5,★★★★★,◆◆◆◆,929,929,0,0,2,1,0,,0,,51,,,Locked
568398,2008,★★,Guard_SWAP,L,1,0,0,100,x5,★★,◆◆◆◆,634,634,0,0,1,0,0,,0,,100,,,Locked
568435,1005,★★★,Destroyer,,90,1968000,700,112300,x1,★★★★★,,1200,1200,10,4,5,5,1002,Night Vision,0,,90,,,Locked
683413,3009,★,Jaguar,XL,1,0,0,100,x5,★,◆◆◆◆,237,237,0,0,0,0,0,,0,,50,,,Locked
705251,3001,★,Ripper,XL,1,0,0,100,x5,★,◆◆◆◆,411,411,0,0,0,0,0,,0,,50,,,Locked
705254,3009,★,Jaguar,XL,1,0,0,100,x5,★,◆◆◆◆,237,237,0,0,0,0,0,,0,,50,,,Locked
773640,1007,★★★,Ouroboros,,90,1968000,700,112300,x1,★★★★★,,1145,1145,5,1,5,5,0,,0,,50,,,Locked
805917,2005,★★,Tarantula,L,1,0,0,100,x5,★★,◆◆◆◆,167,167,0,0,1,0,0,,0,,50,,,Locked
